type,title,country,date_added,release_year,rating,duration,listed_in,description,service
Movie,The Grand Seduction,Canada,"March 30, 2021",2014,,113,"Comedy,Drama","A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor's time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops.",amazon
Movie,Take Care Good Night,India,"March 30, 2021",2018,PG-13,110,"Drama,International",A Metro Family decides to fight a Cyber Criminal threatening their stability and pride.,amazon
Movie,Secrets of Deception,United States,"March 30, 2021",2017,,74,"Action,Drama,Thriller",After a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction,amazon
Movie,Pink: Staying True,United States,"March 30, 2021",2014,,69,Documentary,"Pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! Get inside access to ""the girl who got the party started"" with exclusive interviews and rare live performances.",amazon
Movie,Monster Maker,United Kingdom,"March 30, 2021",1989,,45,"Drama,Fantasy","Teenage Matt Banting wants to work with a famous but eccentric creature/special effects man named Chancey Bellows. He gets more than he bargained for when one of the creatures, the giant dragon-like Ultragorgon, takes Matt under his wing. Matt is forced to confront his inner monsters while working out his issues with his father.",amazon
Movie,Living With Dinosaurs,United Kingdom,"March 30, 2021",1989,,52,"Fantasy,Kids","The story unfolds in a an English seaside town, where Dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. A stuffed toy dinosaur named Dog is Dom's only confidant – Dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents.",amazon
Movie,Hired Gun,United States,"March 30, 2021",2017,,98,"Documentary,Special Interest","They are the ""First Call, A-list"" musicians, just 20 feet from stardom, yet rarely receive credit for their work. The 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians.",amazon
Movie,Grease Live!,United States,"March 30, 2021",2016,,131,Comedy,"This honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse.",amazon
Movie,Global Meltdown,Canada,"March 30, 2021",2017,,87,"Action,Science Fiction,Thriller",A helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.,amazon
Movie,David's Mother,United States,"April 1, 2021",1994,,92,Drama,"Sally Goodson is a devoted mother to her autistic son David. Abandoned by her husband, Sally has managed to keep her son out of ""the System"", until a social worker comes along.",amazon
Movie,Forest Fairies,Canada,"April 4, 2021",2016,,88,"Adventure,Kids",Amanda stumbles upon a hidden village of fairies in the forest. They help her thwart a scheming land developer's plan to trick her mother into selling the family inn.,amazon
Movie,Take Care,United States,"April 10, 2021",2014,,93,Comedy,"When a car crash leaves Frannie immobilized, she is brushed off by everyone she can count on. With nowhere else to turn, Frannie reluctantly calls her ex, Devon, for help. It isn't long before old wounds emerge and are made worse when Devon's crazy new girlfriend shows up.",amazon
