title,release_year,type,rating,service
Game of Thrones,2011,TV Show,R,hbo
Rick and Morty,2013,TV Show,R,hbo
The Lord of the Rings: The Fellowship of the Ring,2001,Movie,PG-13,hbo
Fight Club,1999,Movie,R,hbo
The Lord of the Rings: The Two Towers,2002,Movie,PG-13,hbo
The Lord of the Rings: The Return of the King,2003,Movie,PG-13,hbo
Spirited Away,2001,Movie,PG,hbo
Alien,1979,Movie,R,hbo
Chernobyl,2019,TV Show,R,hbo
Good Will Hunting,1997,Movie,R,hbo
Die Hard,1988,Movie,R,hbo
Joker,2019,Movie,R,hbo
Aliens,1986,Movie,R,hbo
Friends,1994,TV Show,PG-13,hbo
Apocalypse Now,1979,Movie,R,hbo
Once Upon a Time in the West,1968,Movie,PG-13,hbo
The Wire,2002,TV Show,R,hbo
Harry Potter and the Deathly Hallows: Part 2,2011,Movie,PG-13,hbo
Seven Samurai,1954,Movie,,hbo
Casablanca,1942,Movie,PG,hbo
Ford v Ferrari,2019,Movie,PG-13,hbo
Amélie,2001,Movie,R,hbo
2001: A Space Odyssey,1968,Movie,G,hbo
Band of Brothers,2001,TV Show,R,hbo
Jaws,1975,Movie,PG,hbo
Full Metal Jacket,1987,Movie,R,hbo
Casino Royale,2006,Movie,PG-13,hbo
Casino Royale,2006,Movie,PG-13,hbo
Casino Royale,1967,Movie,,hbo
Casino Royale,1967,Movie,,hbo
The Sopranos,1999,TV Show,R,hbo
Princess Mononoke,1997,Movie,PG-13,hbo
Westworld,2016,TV Show,R,hbo
Requiem for a Dream,2000,Movie,R,hbo
Slumdog Millionaire,2008,Movie,R,hbo
My Neighbor Totoro,1988,Movie,PG,hbo
Wonder Woman,2017,Movie,PG-13,hbo
Wonder Woman,2017,Movie,PG-13,hbo
Wonder Woman,2009,Movie,PG-13,hbo
Wonder Woman,2009,Movie,PG-13,hbo
Braveheart,1995,Movie,R,hbo
Harry Potter and the Prisoner of Azkaban,2004,Movie,PG,hbo
Citizen Kane,1941,Movie,PG,hbo
La La Land,2016,Movie,PG-13,hbo
True Detective,2014,TV Show,R,hbo
Harry Potter and the Philosopher's Stone,2001,Movie,PG,hbo
Prisoners,2013,Movie,R,hbo
Howl's Moving Castle,2004,Movie,PG,hbo
Rush,2013,Movie,R,hbo
North by Northwest,1959,Movie,,hbo
X-Men: First Class,2011,Movie,PG-13,hbo
Million Dollar Baby,2004,Movie,PG-13,hbo
Fullmetal Alchemist: Brotherhood,2009,TV Show,R,hbo
The Wizard of Oz,1939,Movie,G,hbo
South Park,1997,TV Show,R,hbo
The Big Bang Theory,2007,TV Show,PG-13,hbo
Cinema Paradiso,1988,Movie,PG,hbo
Gran Torino,2008,Movie,R,hbo
Cast Away,2000,Movie,PG-13,hbo
Singin' in the Rain,1952,Movie,G,hbo
BlacKkKlansman,2018,Movie,R,hbo
Titanic,1997,Movie,PG-13,hbo
The Lego Movie,2014,Movie,PG,hbo
Modern Times,1936,Movie,G,hbo
John Wick: Chapter 3 - Parabellum,2019,Movie,R,hbo
The Kid,1921,Movie,,hbo
Gone with the Wind,1939,Movie,G,hbo
The Great Dictator,1940,Movie,G,hbo
Harry Potter and the Goblet of Fire,2005,Movie,PG-13,hbo
Harry Potter and the Chamber of Secrets,2002,Movie,PG,hbo
The Iron Giant,1999,Movie,PG,hbo
Harry Potter and the Deathly Hallows: Part 1,2010,Movie,PG-13,hbo
In Bruges,2008,Movie,R,hbo
The Hobbit: The Desolation of Smaug,2013,Movie,PG-13,hbo
A Star Is Born,2018,Movie,R,hbo
A Star Is Born,2018,Movie,R,hbo
A Star Is Born,2018,Movie,R,hbo
