service,type,count,rating,mean_score,mean_popularity,total_on_service,percentage_of_total
amazon,Movie,384,G,5.701692708333339,4.419117187499999,3668,0.10468920392584515
amazon,Movie,512,NC-17,5.432714843750001,4.4095156249999965,3668,0.1395856052344602
amazon,Movie,83,NR,5.446385542168676,4.152240963855422,3668,0.02262813522355507
amazon,Movie,194,PG,6.025515463917526,9.22457731958763,3668,0.05288985823336968
amazon,Movie,1272,PG-13,5.627948113207549,6.199870283018866,3668,0.346782988004362
amazon,Movie,1223,R,5.550735895339332,8.68426083401472,3668,0.33342420937840783
disney,Movie,419,G,6.5385441527446355,21.09003579952268,864,0.4849537037037037
disney,Movie,370,PG,6.433918918918917,24.70771621621622,864,0.42824074074074076
disney,Movie,75,PG-13,7.092666666666663,75.05841333333336,864,0.08680555555555555
hbo,Movie,96,G,6.607812499999998,14.80008333333334,1182,0.08121827411167512
hbo,Movie,290,PG,6.523448275862066,20.76934827586207,1182,0.24534686971235195
hbo,Movie,366,PG-13,6.599863387978143,23.08525136612022,1182,0.3096446700507614
hbo,Movie,430,R,6.643488372093027,18.39297674418605,1182,0.3637901861252115
hulu,Movie,32,G,6.239062499999999,8.10475,698,0.045845272206303724
hulu,Movie,1,NR,6.9,10.012,698,0.0014326647564469914
hulu,Movie,121,PG,6.292561983471079,28.89661983471075,698,0.17335243553008595
hulu,Movie,189,PG-13,6.374074074074078,26.31969841269841,698,0.2707736389684814
hulu,Movie,355,R,6.245915492957744,19.175552112676055,698,0.5085959885386819
netflix,Movie,203,G,6.337931034482765,11.752305418719224,4910,0.041344195519348266
netflix,Movie,2,NC-17,6.5,14.892,4910,0.0004073319755600815
netflix,Movie,68,NR,6.258823529411765,10.584588235294115,4910,0.01384928716904277
netflix,Movie,723,PG,6.307192254495163,15.771130013831273,4910,0.14725050916496946
netflix,Movie,1573,PG-13,6.196630642085186,12.841486967577879,4910,0.32036659877800405
netflix,Movie,2341,R,6.239043143955572,12.696184109354984,4910,0.4767820773930754
