service,type,genre,score,popularity
netflix,Movie,Horror,5.85,14.867
netflix,Movie,Thriller,5.85,14.867
netflix,Movie,Documentary,6.7,16.035
netflix,Movie,Drama,6.7,16.035
netflix,Movie,History,6.7,16.035
netflix,Movie,Comedy,6.85,2.3569999999999998
netflix,Movie,Drama,6.85,2.3569999999999998
netflix,Movie,Romance,6.85,2.3569999999999998
netflix,Movie,Drama,7.05,2.089
netflix,Movie,Comedy,7.05,2.089
netflix,Movie,Romance,7.05,2.089
amazon,Movie,Comedy,4.9,4.0360000000000005
netflix,Movie,Comedy,5.15,4.309
netflix,Movie,Romance,5.15,4.309
netflix,Movie,Documentary,4.550000000000001,1.7930000000000001
netflix,Movie,Comedy,6.199999999999999,3.2260000000000004
netflix,Movie,Romance,6.5,3.925
netflix,Movie,Comedy,6.5,3.925
netflix,Movie,Action,6.5,3.925
amazon,Movie,Documentary,6.55,7.082000000000001
netflix,Movie,Documentary,5.6,3.633
netflix,Movie,Comedy,5.800000000000001,12.718
hulu,Movie,Thriller,7.0,9.746
hulu,Movie,Action,7.0,9.746
hulu,Movie,Drama,7.0,9.746
hulu,Movie,War,7.0,9.746
netflix,Movie,Romance,7.2,1.775
netflix,Movie,Drama,7.2,1.775
netflix,Movie,Documentary,6.949999999999999,4.9719999999999995
amazon,Movie,Comedy,7.5,47.058
amazon,Movie,Drama,7.5,47.058
amazon,Movie,Romance,7.5,47.058
netflix,Movie,Thriller,6.55,3.8310000000000004
netflix,Movie,Documentary,6.55,3.8310000000000004
hbo,Movie,Drama,6.199999999999999,8.644
hbo,Movie,Romance,6.199999999999999,8.644
netflix,Movie,Drama,5.6,4.862
netflix,Movie,Drama,6.449999999999999,8.37
netflix,Movie,Romance,6.449999999999999,8.37
hulu,Movie,Comedy,4.5,3.739
amazon,Movie,Comedy,4.5,3.739
amazon,Movie,Comedy,5.6,1.4
amazon,Movie,Drama,5.6,1.4
netflix,Movie,Comedy,5.05,1.474
amazon,Movie,Action,4.9,3.3960000000000004
amazon,Movie,Romance,4.9,3.3960000000000004
amazon,Movie,Crime,4.55,11.048
amazon,Movie,Action,4.55,11.048
amazon,Movie,Thriller,4.55,11.048
amazon,Movie,Mystery,4.55,11.048
amazon,Movie,Crime,7.449999999999999,8.191
amazon,Movie,Drama,7.449999999999999,8.191
amazon,Movie,Thriller,7.449999999999999,8.191
amazon,Movie,Comedy,7.449999999999999,46.663000000000004
amazon,Movie,Romance,7.449999999999999,46.663000000000004
amazon,Movie,Drama,7.449999999999999,46.663000000000004
disney,Movie,Comedy,7.449999999999999,46.663000000000004
disney,Movie,Romance,7.449999999999999,46.663000000000004
disney,Movie,Drama,7.449999999999999,46.663000000000004
netflix,Movie,Comedy,5.6,5.957999999999999
netflix,Movie,Drama,5.6,5.957999999999999
amazon,Movie,Crime,6.25,11.027000000000001
amazon,Movie,Drama,6.25,11.027000000000001
amazon,Movie,Thriller,6.25,11.027000000000001
hulu,Movie,Drama,4.15,53.11
hulu,Movie,Adventure,4.15,53.11
hulu,Movie,Action,4.15,53.11
amazon,Movie,Drama,4.15,53.11
amazon,Movie,Adventure,4.15,53.11
amazon,Movie,Action,4.15,53.11
netflix,Movie,Documentary,6.4,1.432
netflix,Movie,Drama,6.4,1.432
amazon,Movie,Drama,5.95,2.88
amazon,Movie,Crime,5.95,2.88
netflix,Movie,Comedy,7.45,9.004
netflix,Movie,Drama,7.45,9.004
hulu,Movie,Drama,6.0,8.174
hulu,Movie,Animation,5.800000000000001,74.542
hulu,Movie,Family,5.800000000000001,74.542
hulu,Movie,Fantasy,5.800000000000001,74.542
disney,Movie,Adventure,7.2,72.554
disney,Movie,Animation,7.2,72.554
disney,Movie,Comedy,7.2,72.554
disney,Movie,Family,7.2,72.554
disney,Movie,Family,5.9,62.705
disney,Movie,Adventure,5.9,62.705
disney,Movie,Comedy,5.9,62.705
disney,Movie,Animation,5.9,62.705
disney,Movie,Family,5.2,16.426
disney,Movie,Comedy,5.2,16.426
amazon,Movie,Comedy,7.5,4.147
amazon,Movie,Family,7.5,4.147
amazon,Movie,Drama,7.5,4.147
amazon,Movie,Horror,3.85,2.048
amazon,Movie,Thriller,3.85,2.048
amazon,Movie,Comedy,6.199999999999999,8.71
amazon,Movie,Family,6.199999999999999,8.71
amazon,Movie,Fantasy,6.199999999999999,8.71
amazon,Movie,Romance,6.199999999999999,8.71
amazon,Movie,TV Movie,6.199999999999999,8.71
