service,type,genre,count,mean_score,mean_popularity,total_on_service,percentage_of_total
amazon,Movie,Drama,1613,5.87151270923745,6.633057656540613,7661,0.2105469259887743
amazon,Movie,Comedy,1104,5.780525362318833,6.5975498188405775,7661,0.14410651350998563
amazon,Movie,Thriller,737,5.503392130257807,9.609533242876525,7661,0.0962015402688944
amazon,Movie,Action,660,5.401363636363642,10.450024242424236,7661,0.08615063307662185
amazon,Movie,Romance,604,5.8259933774834405,6.800970198675495,7661,0.07884088239133272
amazon,Movie,Horror,407,5.078378378378378,9.853781326781325,7661,0.053126223730583476
amazon,Movie,Crime,398,5.728517587939698,8.223005025125621,7661,0.05195144237044772
amazon,Movie,Documentary,283,6.424911660777386,3.285494699646644,7661,0.03694034721315755
amazon,Movie,Family,253,5.773320158102764,7.7082015810276685,7661,0.033024409346038376
amazon,Movie,Adventure,251,5.53207171314741,12.106071713147418,7661,0.03276334682156377
amazon,Movie,TV Movie,240,5.542916666666666,4.358120833333335,7661,0.0313275029369534
amazon,Movie,Mystery,223,5.572197309417042,8.64888340807175,7661,0.0291084714789192
amazon,Movie,Science Fiction,182,5.145054945054946,11.79291758241758,7661,0.023756689727189664
amazon,Movie,Western,163,5.060736196319018,3.518398773006136,7661,0.02127659574468085
amazon,Movie,Fantasy,144,5.709027777777777,13.729069444444454,7661,0.01879650176217204
amazon,Movie,Music,122,6.0852459016393485,5.688795081967216,7661,0.01592481399295131
amazon,Movie,History,106,6.099528301886795,7.254990566037735,7661,0.013836313797154418
amazon,Movie,War,89,6.021910112359552,8.051235955056178,7661,0.01161728233912022
amazon,Movie,Animation,82,5.987195121951219,15.932524390243909,7661,0.01070356350345908
disney,Movie,Family,566,6.413515901060074,28.356125441696122,2490,0.22730923694779118
disney,Movie,Comedy,370,6.321216216216217,27.241245945945952,2490,0.14859437751004015
disney,Movie,Animation,328,6.803506097560978,33.469277439024424,2490,0.13172690763052208
disney,Movie,Adventure,285,6.566842105263156,49.024428070175446,2490,0.1144578313253012
disney,Movie,Fantasy,166,6.580421686746986,46.51756024096386,2490,0.06666666666666667
disney,Movie,Drama,143,6.643706293706296,19.72106293706295,2490,0.05742971887550201
disney,Movie,TV Movie,127,6.139370078740155,15.360314960629928,2490,0.05100401606425703
disney,Movie,Action,110,6.553636363636365,60.839363636363636,2490,0.04417670682730924
disney,Movie,Documentary,104,6.723557692307692,5.094115384615384,2490,0.04176706827309237
disney,Movie,Science Fiction,91,6.601648351648351,56.796626373626395,2490,0.03654618473895582
disney,Movie,Romance,65,6.549230769230774,32.534892307692324,2490,0.02610441767068273
disney,Movie,Music,57,6.600877192982457,20.89371929824561,2490,0.02289156626506024
disney,Movie,History,23,6.923913043478261,16.45565217391304,2490,0.009236947791164659
disney,Movie,Mystery,15,6.27,14.814733333333331,2490,0.006024096385542169
disney,Movie,Thriller,12,6.270833333333333,18.291916666666662,2490,0.004819277108433735
disney,Movie,Western,11,6.181818181818183,5.7469090909090905,2490,0.004417670682730923
disney,Movie,Horror,8,6.60625,7.603625,2490,0.00321285140562249
disney,Movie,Crime,7,6.535714285714286,14.239714285714284,2490,0.002811244979919679
disney,Movie,War,2,5.85,43.085499999999996,2490,0.0008032128514056225
hbo,Movie,Drama,674,6.969807121661722,13.760201780415414,3457,0.1949667341625687
hbo,Movie,Comedy,449,6.376614699331851,17.23539643652561,3457,0.12988140005785362
hbo,Movie,Documentary,307,6.779804560260585,3.8595732899022828,3457,0.08880532253398901
hbo,Movie,Romance,274,6.77737226277372,15.437423357664224,3457,0.07925947353196414
hbo,Movie,Thriller,203,6.599261083743844,22.98792118226601,3457,0.05872143477003182
hbo,Movie,Action,202,6.471287128712872,31.610500000000027,3457,0.05843216661845531
